"episode","score","train_step"
"0","1400.0","753669"
"1","400.0","755983"
"2","400.0","757181"
"3","0.0","757313"
"4","1400.0","760201"
"5","0.0","760333"
"6","0.0","760613"
"7","0.0","761546"
"8","400.0","764309"
"9","1400.0","766430"
"10","1400.0","768066"
"11","1400.0","768646"
"12","400.0","769057"
"13","400.0","769708"
"14","400.0","770503"
"15","400.0","772199"
"16","1400.0","774088"
"17","0.0","774199"
"18","100.0","774643"
"19","1400.0","775112"
"20","1400.0","775815"
"21","400.0","776062"
"22","0.0","776300"
"23","0.0","776502"
"24","0.0","776943"
"25","0.0","777190"
"26","400.0","778041"
"27","1400.0","778647"
"28","400.0","778958"
"29","400.0","779168"
"30","0.0","779423"
"31","0.0","779887"
"32","0.0","780181"
"33","1400.0","780789"
"34","1400.0","783937"
"35","100.0","785245"
"36","2400.0","786603"
"37","400.0","786986"
"38","400.0","787249"
"39","1400.0","790336"
"40","0.0","790455"
"41","0.0","790646"
"42","0.0","790790"
"43","1400.0","791399"
"44","1400.0","791860"
"45","0.0","792044"
"46","0.0","792192"
"47","0.0","793072"
"48","400.0","793591"
"49","1400.0","794022"
"50","0.0","794356"
"51","0.0","794619"
"52","0.0","795133"
"53","100.0","795563"
"54","0.0","795736"
"55","0.0","796168"
"56","1400.0","796548"
"57","1400.0","796857"
"58","400.0","797101"
"59","0.0","797371"
"60","1400.0","798362"
"61","0.0","798511"
"62","1400.0","798995"
"63","0.0","799243"
"64","0.0","799328"
"65","0.0","799474"
"66","1400.0","799715"
"67","400.0","800194"
"68","0.0","800335"
"69","0.0","800507"
"70","0.0","800602"
"71","400.0","800799"
"72","0.0","800947"
"73","0.0","801140"
"74","100.0","801353"
"75","1400.0","801786"
"76","2400.0","804314"
"77","100.0","804461"
"78","1400.0","804934"
"79","0.0","805123"
"80","400.0","805362"
"81","0.0","805508"
"82","400.0","805702"
"83","400.0","805866"
"84","400.0","806009"
"85","1400.0","806320"
"86","0.0","806474"
"87","1400.0","806829"
"88","1400.0","807580"
"89","1400.0","809463"
"90","1400.0","811159"
"91","100.0","811329"
"92","400.0","811521"
"93","400.0","811734"
"94","0.0","811856"
"95","400.0","812099"
"96","400.0","812350"
"97","400.0","812591"
"98","1400.0","812844"
"99","400.0","813065"
"100","1400.0","813824"
"101","1500.0","821452"
"102","1400.0","821771"
"103","1400.0","822086"
"104","1500.0","822941"
"105","1400.0","823815"
"106","400.0","824126"
"107","400.0","824513"
"108","1400.0","825327"
"109","400.0","825618"
"110","2400.0","831536"
"111","1400.0","832024"
"112","1500.0","834146"
"113","1400.0","838922"
"114","1400.0","839895"
"115","400.0","840093"
"116","0.0","840967"
"117","0.0","841089"
"118","1400.0","843059"
"119","400.0","843343"
"120","1400.0","843702"
"121","1400.0","848152"
"122","1400.0","848441"
"123","1400.0","849246"
"124","1400.0","850217"
"125","1400.0","850530"
"126","1400.0","850813"
"127","1400.0","851811"
"128","1400.0","852318"
"129","1400.0","853315"
"130","400.0","853506"
"131","1400.0","853886"
"132","1400.0","854250"
"133","400.0","854443"
"134","1400.0","856277"
"135","400.0","856512"
"136","1500.0","858451"
"137","400.0","858734"
"138","400.0","859415"
"139","1400.0","859759"
"140","1500.0","863022"
"141","1400.0","864639"
"142","1400.0","865760"
"143","400.0","865935"
"144","1400.0","866202"
"145","1400.0","866524"
"146","400.0","866779"
"147","2400.0","867163"
"148","2400.0","867576"
"149","2400.0","868286"
"150","2400.0","869622"
"151","1400.0","869918"
"152","1400.0","870390"
"153","400.0","872461"
"154","1400.0","872963"
"155","1400.0","873362"
"156","1400.0","874042"
"157","2400.0","876273"
"158","1400.0","876514"
"159","1400.0","876754"
"160","1400.0","877371"
"161","1400.0","878685"
"162","1400.0","879136"
"163","2400.0","879501"
"164","1400.0","886734"
"165","1400.0","887230"
"166","1400.0","889960"
"167","400.0","890169"
"168","2400.0","890650"
"169","1400.0","890945"
"170","2400.0","891444"
"171","1400.0","892351"
"172","1500.0","894837"
"173","1400.0","895195"
"174","1400.0","895522"
"175","1400.0","895997"
"176","1500.0","898004"
"177","2600.0","903909"
"178","2400.0","904778"
"179","1400.0","905392"
"180","1400.0","906043"
"181","1400.0","906922"
"182","2400.0","907228"
"183","1400.0","907607"
"184","2400.0","907958"
"185","2400.0","908359"
"186","2400.0","909330"
"187","2400.0","909889"
"188","2400.0","911232"
"189","1500.0","912469"
"190","1400.0","912793"
"191","2400.0","913224"
"192","2400.0","914249"
"193","1400.0","914548"
"194","1400.0","914885"
"195","2400.0","915505"
"196","1400.0","915765"
"197","1500.0","919741"
"198","2800.0","934430"
"199","1400.0","935623"
"200","2400.0","936196"
"201","2400.0","937338"
"202","2400.0","937702"
"203","1400.0","938376"
"204","1400.0","938664"
"205","1400.0","938905"
"206","400.0","939156"
"207","1400.0","939568"
"208","2400.0","939900"
"209","1400.0","940268"
"210","1500.0","942140"
"211","1400.0","942959"
"212","2400.0","943553"
"213","2600.0","960697"
"214","1400.0","968363"
"215","2400.0","968748"
"216","2400.0","969053"
"217","1400.0","969316"
"218","1400.0","969561"
"219","2400.0","970143"
"220","1400.0","970543"
"221","1400.0","971096"
"222","1400.0","971362"
"223","1400.0","971625"
"224","2400.0","972139"
"225","1400.0","972420"
"226","2400.0","973101"
"227","2400.0","973325"
"228","1400.0","973711"
"229","1400.0","974247"
"230","2400.0","975526"
"231","1400.0","975801"
"232","2400.0","976109"
"233","2400.0","976664"
"234","1400.0","976947"
"235","2400.0","978020"
"236","1400.0","978353"
"237","400.0","978495"
"238","2400.0","978906"
"239","1500.0","981502"
"240","2400.0","982006"
"241","1400.0","982317"
"242","2400.0","982669"
"243","2400.0","983769"
"244","1400.0","983943"
"245","2400.0","984373"
"246","400.0","984595"
"247","1400.0","984834"
"248","1400.0","985119"
"249","1400.0","985382"
"250","1400.0","985857"
"251","2400.0","986133"
"252","2400.0","986658"
"253","1500.0","1036659"
"254","2400.0","1037052"
"255","2400.0","1037422"
"256","1400.0","1038609"
"257","2400.0","1039046"
"258","2600.0","1040604"
"259","1400.0","1040842"
"260","2400.0","1043710"
"261","2400.0","1044600"
"262","2400.0","1047994"
"263","1400.0","1048314"
"264","2400.0","1093558"
"265","2400.0","1142493"
"266","1400.0","1142690"
"267","2400.0","1144128"
"268","2400.0","1162157"
"269","2400.0","1162406"
"270","1400.0","1163253"
"271","2400.0","1165008"
"272","2400.0","1165542"
"273","2400.0","1165819"
"274","400.0","1166009"
"275","2400.0","1167995"
"276","2400.0","1169431"
"277","2400.0","1214330"
"278","2400.0","1218504"
"279","2400.0","1222788"
"280","1400.0","1222972"
"281","1400.0","1223554"
"282","2400.0","1237619"
"283","1400.0","1237788"
"284","2400.0","1242094"
"285","2400.0","1281319"
"286","2400.0","1311613"
"287","2400.0","1332740"
"288","1400.0","1332985"
"289","2400.0","1356834"
"290","2400.0","1361373"
"291","1400.0","1361582"
"292","1400.0","1361807"
"293","2400.0","1363895"
"294","2400.0","1365056"
"295","2400.0","1381002"
"296","2400.0","1381974"
"297","2400.0","1383203"
"298","1400.0","1383339"
"299","2400.0","1384866"
"300","1400.0","1385104"
"301","2400.0","1388749"
"302","1400.0","1388947"
"303","1400.0","1389149"
"304","2400.0","1405264"
"305","2400.0","1405632"
"306","2400.0","1405873"
"307","2400.0","1406585"
"308","2400.0","1406825"
"309","2400.0","1407028"
"310","400.0","1408117"
"311","2400.0","1408566"
"312","400.0","1408731"
"313","2400.0","1412913"
"314","2400.0","1413419"
"315","2400.0","1413690"
"316","400.0","1413965"
"317","2400.0","1414508"
"318","1400.0","1414724"
"319","2400.0","1415519"
"320","2400.0","1418608"
"321","2400.0","1418858"
"322","2400.0","1419310"
"323","1500.0","1421472"
"324","2400.0","1421782"
"325","2400.0","1421997"
"326","2400.0","1422931"
"327","1400.0","1423334"
"328","2400.0","1423614"
"329","1400.0","1430224"
"330","400.0","1430384"
"331","2400.0","1430676"
"332","400.0","1431050"
"333","2400.0","1440991"
"334","1400.0","1441184"
"335","2400.0","1446376"
"336","2400.0","1447054"
"337","2400.0","1447276"
"338","2400.0","1450912"
"339","2400.0","1451142"
"340","2400.0","1451638"
"341","2400.0","1452018"
"342","2400.0","1452227"
"343","2400.0","1452576"
"344","2400.0","1453254"
"345","2400.0","1453623"
"346","100.0","1453810"
"347","2400.0","1454498"
"348","1500.0","1502318"
"349","1400.0","1502862"
"350","1400.0","1503019"
"351","2400.0","1521675"
"352","2400.0","1522312"
"353","2400.0","1522587"
"354","2400.0","1522892"
"355","2400.0","1524379"
"356","1400.0","1525597"
"357","2400.0","1526463"
"358","2400.0","1526932"
"359","2400.0","1528005"
"360","2400.0","1528792"
"361","2400.0","1529153"
"362","2400.0","1529951"
"363","2400.0","1530184"
"364","2400.0","1531273"
"365","2400.0","1531629"
"366","2400.0","1531850"
"367","2400.0","1532431"
"368","2400.0","1532824"
"369","2400.0","1533279"
"370","2400.0","1533586"
"371","2400.0","1534014"
"372","2400.0","1534602"
"373","2400.0","1535871"
"374","2400.0","1537947"
"375","2400.0","1538548"
"376","2400.0","1539266"
"377","2400.0","1539870"
"378","2400.0","1540157"
"379","2400.0","1541161"
"380","2400.0","1542128"
"381","2400.0","1542675"
"382","1400.0","1542918"
"383","2400.0","1543247"
"384","2400.0","1543719"
"385","2400.0","1543914"
"386","1400.0","1544120"
"387","2400.0","1545234"
"388","2400.0","1545548"
"389","2400.0","1545842"
"390","2400.0","1547446"
"391","1400.0","1547639"
"392","2400.0","1547829"
"393","400.0","1548161"
"394","1400.0","1548379"
"395","2400.0","1559719"
"396","2400.0","1563148"
"397","2400.0","1563658"
"398","2400.0","1563909"
"399","1400.0","1564096"
"400","2400.0","1564289"
"401","2400.0","1565414"
"402","400.0","1565521"
"403","2400.0","1565745"
"404","2400.0","1569904"
"405","2400.0","1581664"
"406","1400.0","1582117"
"407","2400.0","1587574"
"408","2400.0","1588197"
"409","2400.0","1588504"
"410","2400.0","1589354"
"411","2400.0","1590536"
"412","2400.0","1590732"
"413","2400.0","1599704"
"414","2400.0","1600126"
"415","400.0","1600290"
"416","2400.0","1602331"
"417","2400.0","1603031"
"418","1400.0","1603320"
"419","2400.0","1603537"
"420","2400.0","1603730"
"421","2400.0","1603927"
"422","2400.0","1604332"
"423","2400.0","1604557"
"424","2400.0","1604916"
"425","2400.0","1605601"
"426","2400.0","1605802"
"427","2400.0","1616535"
"428","2400.0","1617764"
"429","2400.0","1618643"
"430","1400.0","1618902"
"431","2400.0","1619191"
"432","2400.0","1619540"
"433","2400.0","1619773"
"434","1400.0","1619958"
"435","2400.0","1620686"
"436","2400.0","1621335"
"437","2400.0","1621541"
"438","2400.0","1623950"
"439","2400.0","1661038"
"440","2400.0","1668271"
"441","2400.0","1668587"
"442","2400.0","1670668"
"443","2400.0","1672900"
"444","2400.0","1673327"
"445","2400.0","1673528"
"446","2400.0","1673871"
"447","2400.0","1674253"
"448","2400.0","1674970"
"449","2400.0","1675432"
"450","2400.0","1675729"
"451","2400.0","1675970"
"452","2400.0","1676307"
"453","2400.0","1676504"
"454","2400.0","1676793"
"455","2400.0","1677038"
"456","1400.0","1677251"
"457","2400.0","1677806"
"458","1400.0","1678083"
"459","2400.0","1678319"
"460","2400.0","1678524"
"461","2400.0","1678790"
"462","2400.0","1679076"
