"episode","score","train_step"
"0","400.0","751843"
"1","500.0","757421"
"2","900.0","759575"
"3","600.0","765147"
"4","400.0","766162"
"5","600.0","767073"
"6","2500.0","768832"
"7","500.0","772859"
"8","400.0","773398"
"9","400.0","775213"
"10","500.0","777248"
"11","400.0","779157"
"12","3600.0","780957"
"13","3600.0","787212"
"14","500.0","788342"
"15","1400.0","790961"
"16","400.0","792318"
"17","6600.0","842319"
"18","500.0","842868"
"19","500.0","844197"
"20","0.0","845811"
"21","2500.0","850202"
"22","600.0","854018"
"23","400.0","856296"
"24","8000.0","870811"
"25","600.0","871597"
"26","0.0","872754"
"27","0.0","873365"
"28","500.0","874752"
"29","400.0","876405"
"30","500.0","877040"
"31","1500.0","879180"
"32","400.0","880233"
"33","400.0","881032"
"34","400.0","883519"
"35","600.0","904349"
"36","0.0","906224"
"37","3600.0","916168"
"38","500.0","917052"
"39","500.0","917513"
"40","0.0","917896"
"41","1400.0","919187"
"42","500.0","921019"
"43","600.0","938054"
"44","0.0","938521"
"45","500.0","939113"
"46","500.0","939541"
"47","500.0","940117"
"48","500.0","941496"
"49","6600.0","991497"
"50","600.0","1004276"
"51","400.0","1004835"
"52","400.0","1005912"
"53","600.0","1007746"
"54","400.0","1008746"
"55","500.0","1009430"
"56","500.0","1010008"
"57","500.0","1010504"
"58","600.0","1019937"
"59","500.0","1021218"
"60","500.0","1022530"
"61","3700.0","1030621"
"62","600.0","1063822"
"63","100.0","1064829"
"64","500.0","1065566"
"65","600.0","1066282"
"66","600.0","1072096"
"67","500.0","1072602"
"68","600.0","1073276"
"69","400.0","1073798"
"70","400.0","1074249"
"71","3600.0","1076909"
"72","600.0","1077616"
"73","2600.0","1098472"
"74","500.0","1099093"
"75","6600.0","1149094"
"76","500.0","1150036"
"77","5800.0","1154901"
"78","6600.0","1204902"
"79","2500.0","1209659"
"80","5800.0","1212285"
"81","1500.0","1221916"
"82","500.0","1222840"
"83","3900.0","1227694"
"84","6600.0","1229840"
"85","500.0","1230998"
"86","600.0","1232871"
"87","400.0","1233253"
"88","2500.0","1236275"
"89","500.0","1237385"
"90","500.0","1238072"
"91","500.0","1239224"
"92","600.0","1239807"
"93","600.0","1242501"
"94","500.0","1243034"
"95","500.0","1243712"
"96","500.0","1244120"
"97","5800.0","1248224"
"98","500.0","1248687"
"99","400.0","1249148"
"100","600.0","1250320"
"101","2600.0","1251286"
"102","3700.0","1273255"
"103","400.0","1274613"
"104","2500.0","1281398"
"105","500.0","1282101"
"106","3600.0","1283135"
"107","400.0","1283690"
"108","600.0","1284136"
"109","500.0","1285998"
"110","5800.0","1289555"
"111","6600.0","1290821"
"112","3700.0","1292578"
"113","2500.0","1293859"
"114","500.0","1294752"
"115","500.0","1305074"
"116","3700.0","1307082"
"117","2800.0","1309895"
"118","500.0","1310328"
"119","500.0","1311579"
"120","6600.0","1321634"
"121","600.0","1322595"
"122","600.0","1329210"
"123","600.0","1330287"
"124","3600.0","1331723"
"125","600.0","1334886"
"126","700.0","1336045"
"127","500.0","1336464"
"128","400.0","1337052"
"129","1400.0","1338093"
"130","3600.0","1339688"
"131","3700.0","1342184"
"132","400.0","1343335"
"133","2600.0","1351965"
"134","600.0","1352688"
"135","600.0","1353105"
"136","2600.0","1354258"
"137","3600.0","1355047"
"138","400.0","1355657"
"139","3600.0","1357095"
"140","600.0","1357766"
"141","3700.0","1359434"
"142","600.0","1360441"
"143","600.0","1361986"
"144","600.0","1362531"
"145","1500.0","1369761"
"146","600.0","1419762"
"147","6600.0","1455074"
"148","600.0","1455655"
"149","500.0","1456235"
"150","600.0","1456809"
"151","600.0","1457896"
"152","3600.0","1491169"
"153","600.0","1491826"
"154","500.0","1492368"
"155","2600.0","1494224"
"156","2600.0","1527723"
"157","3700.0","1529011"
"158","2500.0","1577306"
"159","3700.0","1579164"
"160","600.0","1580941"
"161","600.0","1582279"
"162","600.0","1583041"
"163","600.0","1583673"
"164","600.0","1584704"
"165","3700.0","1587518"
"166","500.0","1588015"
"167","3600.0","1590340"
"168","3600.0","1593097"
"169","3700.0","1594423"
"170","2600.0","1636655"
"171","6600.0","1652116"
"172","3700.0","1702117"
"173","600.0","1702836"
"174","100.0","1703599"
"175","3700.0","1713952"
"176","3700.0","1725042"
"177","3600.0","1726039"
"178","0.0","1726452"
"179","500.0","1726975"
"180","1400.0","1728080"
"181","500.0","1728687"
"182","3600.0","1729586"
"183","6600.0","1750309"
"184","2600.0","1755090"
"185","3600.0","1755691"
"186","400.0","1756110"
"187","6600.0","1768393"
"188","500.0","1768774"
"189","3600.0","1773886"
"190","500.0","1774316"
"191","3700.0","1775087"
"192","100.0","1776070"
"193","1500.0","1800109"
"194","3600.0","1805794"
"195","500.0","1806163"
"196","6600.0","1811140"
"197","3700.0","1828355"
"198","3600.0","1831034"
"199","3700.0","1836607"
"200","3600.0","1837281"
"201","2500.0","1857102"
"202","3700.0","1870346"
"203","3600.0","1871146"
"204","3700.0","1873503"
"205","500.0","1874080"
"206","500.0","1874551"
"207","2600.0","1876018"
"208","2500.0","1876579"
"209","500.0","1876914"
"210","3700.0","1878780"
"211","3700.0","1879855"
"212","500.0","1880210"
"213","500.0","1880522"
"214","600.0","1881087"
"215","3700.0","1894490"
"216","3700.0","1902262"
"217","2600.0","1902816"
"218","3700.0","1906474"
"219","3700.0","1908037"
"220","500.0","1908402"
"221","3600.0","1910850"
"222","600.0","1912623"
"223","3700.0","1929956"
"224","3700.0","1931020"
"225","500.0","1931330"
"226","500.0","1931648"
"227","3600.0","1932215"
"228","500.0","1982216"
"229","600.0","1983056"
"230","3700.0","1983760"
"231","3700.0","1990013"
"232","3700.0","1991374"
"233","3700.0","1992345"
"234","500.0","1992743"
"235","3700.0","1993625"
"236","3700.0","1995849"
"237","3700.0","1996804"
"238","2600.0","1997435"
"239","3700.0","2005649"
"240","3700.0","2006770"
"241","400.0","2007698"
"242","2500.0","2010725"
"243","3700.0","2011415"
"244","3700.0","2012853"
"245","600.0","2014459"
"246","2600.0","2015509"
"247","500.0","2016600"
"248","500.0","2016963"
"249","400.0","2017335"
"250","3600.0","2017874"
"251","2600.0","2022241"
"252","3700.0","2023283"
"253","2600.0","2024689"
"254","3700.0","2030990"
"255","3700.0","2032213"
"256","3700.0","2033249"
"257","2600.0","2033915"
"258","2600.0","2034682"
"259","500.0","2084683"
"260","500.0","2085223"
"261","3700.0","2090824"
"262","3500.0","2098384"
"263","3700.0","2103560"
"264","3700.0","2104264"
"265","3700.0","2106140"
"266","3700.0","2107100"
"267","3700.0","2109016"
"268","3700.0","2110104"
"269","3700.0","2112076"
"270","600.0","2112611"
"271","500.0","2115890"
"272","3700.0","2126442"
"273","3700.0","2127710"
"274","3700.0","2131601"
"275","600.0","2131989"
"276","3700.0","2145194"
"277","3700.0","2146088"
"278","3700.0","2172759"
"279","2600.0","2173320"
"280","3700.0","2174341"
"281","3700.0","2175641"
"282","2600.0","2177499"
"283","3700.0","2186402"
"284","3700.0","2187696"
"285","3700.0","2191889"
"286","3600.0","2192556"
"287","2600.0","2193374"
"288","3600.0","2194577"
"289","3700.0","2195360"
"290","3700.0","2196052"
"291","3600.0","2196886"
"292","3700.0","2198151"
"293","3700.0","2199293"
"294","3700.0","2200403"
"295","3700.0","2201149"
"296","3700.0","2201928"
"297","3700.0","2202995"
"298","3700.0","2204180"
"299","3700.0","2204801"
"300","2600.0","2216147"
"301","3700.0","2218140"
"302","3700.0","2219377"
"303","3700.0","2220380"
"304","3700.0","2224641"
"305","3700.0","2225276"
"306","400.0","2225831"
"307","500.0","2226478"
"308","3600.0","2276479"
"309","2600.0","2277155"
"310","500.0","2277545"
"311","500.0","2278108"
"312","3700.0","2278647"
"313","3700.0","2289184"
"314","3700.0","2294422"
"315","3700.0","2295186"
"316","3700.0","2295809"
"317","2600.0","2303274"
"318","3700.0","2306812"
"319","3700.0","2307866"
"320","3700.0","2309762"
"321","3700.0","2310666"
"322","3700.0","2311781"
"323","3700.0","2313906"
"324","500.0","2314268"
"325","3700.0","2317585"
"326","3700.0","2320051"
"327","3700.0","2322842"
"328","3700.0","2324785"
"329","3700.0","2325328"
"330","2600.0","2331359"
"331","3700.0","2333374"
"332","3700.0","2334423"
"333","2600.0","2384424"
"334","3700.0","2385010"
"335","2600.0","2435011"
"336","3700.0","2435725"
"337","3700.0","2436300"
"338","3700.0","2437620"
"339","3700.0","2438300"
"340","500.0","2438757"
"341","3700.0","2440724"
"342","3700.0","2441628"
"343","2600.0","2442546"
"344","3700.0","2443268"
"345","400.0","2443817"
"346","3700.0","2444591"
"347","3700.0","2445773"
"348","3700.0","2449630"
"349","3700.0","2450477"
"350","3700.0","2451372"
"351","500.0","2451749"
"352","3700.0","2453598"
"353","3700.0","2454812"
"354","2600.0","2479171"
"355","3700.0","2480386"
"356","3700.0","2481153"
"357","3700.0","2486422"
"358","3700.0","2487379"
"359","3700.0","2489100"
"360","500.0","2489555"
"361","3700.0","2492606"
"362","3700.0","2493519"
"363","3700.0","2494921"
"364","3700.0","2502108"
"365","3700.0","2502723"
"366","3700.0","2503342"
"367","3700.0","2504933"
"368","3700.0","2505903"
"369","2600.0","2519890"
"370","3700.0","2521381"
"371","3700.0","2522201"
"372","3700.0","2522818"
"373","3700.0","2523615"
"374","3700.0","2524521"
"375","3700.0","2525130"
"376","3700.0","2526707"
"377","3700.0","2527285"
"378","3700.0","2527934"
"379","3700.0","2528663"
"380","3700.0","2529908"
"381","3700.0","2530649"
"382","2600.0","2531183"
"383","3700.0","2534351"
"384","3700.0","2536975"
"385","3700.0","2537852"
"386","500.0","2538295"
"387","3700.0","2539038"
"388","500.0","2539467"
"389","0.0","2539805"
"390","3700.0","2544536"
"391","3700.0","2546733"
"392","3700.0","2548020"
"393","3700.0","2548731"
"394","0.0","2549066"
"395","3700.0","2549585"
"396","3700.0","2563855"
"397","3700.0","2564373"
"398","3700.0","2565668"
"399","3700.0","2566257"
"400","3700.0","2567140"
"401","3700.0","2568616"
"402","3700.0","2571344"
"403","3700.0","2573600"
"404","500.0","2573971"
"405","3600.0","2576208"
"406","3700.0","2578386"
"407","3700.0","2579178"
"408","3700.0","2581379"
"409","3700.0","2582923"
"410","3700.0","2583968"
"411","3700.0","2584549"
"412","3700.0","2585599"
"413","500.0","2586012"
"414","3700.0","2586630"
"415","3700.0","2588551"
"416","3700.0","2589085"
"417","3700.0","2590972"
"418","0.0","2591194"
"419","500.0","2591559"
"420","3700.0","2592348"
"421","3700.0","2593361"
"422","3700.0","2594686"
"423","3700.0","2595314"
"424","3700.0","2598346"
"425","3700.0","2599926"
"426","600.0","2600724"
"427","3700.0","2601281"
"428","3700.0","2602004"
"429","2600.0","2602986"
"430","400.0","2607994"
"431","3700.0","2608585"
"432","3700.0","2610327"
"433","500.0","2610698"
"434","3700.0","2611531"
"435","3700.0","2612053"
"436","3700.0","2613700"
"437","3700.0","2614464"
"438","3700.0","2617028"
"439","3700.0","2618212"
"440","3700.0","2618714"
"441","3700.0","2619228"
"442","3700.0","2620722"
"443","3700.0","2621239"
"444","3700.0","2621796"
"445","3700.0","2624628"
"446","3700.0","2625192"
"447","3700.0","2625738"
"448","3700.0","2626306"
"449","3700.0","2627316"
"450","3700.0","2628722"
"451","2600.0","2629907"
"452","3700.0","2630446"
"453","2600.0","2633442"
"454","3600.0","2633920"
"455","3700.0","2634501"
"456","3700.0","2635219"
"457","3700.0","2635951"
"458","3700.0","2636983"
"459","500.0","2637376"
"460","3700.0","2638124"
"461","100.0","2638564"
"462","3700.0","2639757"
"463","3700.0","2640276"
"464","3700.0","2641346"
"465","3700.0","2642464"
"466","3700.0","2643236"
"467","3700.0","2643902"
"468","500.0","2644216"
"469","3700.0","2645140"
"470","3700.0","2645898"
"471","3700.0","2649025"
"472","600.0","2649499"
"473","2600.0","2650772"
"474","3700.0","2652898"
"475","3700.0","2653873"
"476","2600.0","2654932"
"477","3700.0","2656646"
"478","100.0","2657724"
"479","3700.0","2659358"
"480","3700.0","2659841"
"481","3700.0","2660825"
"482","3700.0","2661638"
"483","3700.0","2662227"
"484","3700.0","2662949"
"485","3700.0","2663449"
"486","3700.0","2664668"
"487","2600.0","2672619"
"488","3700.0","2674594"
"489","3700.0","2677987"
"490","3700.0","2678822"
"491","3700.0","2679381"
"492","3700.0","2680081"
"493","2600.0","2681249"
"494","3700.0","2682441"
"495","3700.0","2683728"
"496","3700.0","2684251"
"497","3700.0","2684715"
"498","3700.0","2685416"
"499","3700.0","2685969"
"500","3700.0","2686537"
"501","3600.0","2691653"
"502","3700.0","2692985"
"503","3700.0","2694504"
"504","3700.0","2695223"
"505","3700.0","2695969"
"506","3700.0","2703778"
"507","3700.0","2704471"
"508","3700.0","2705385"
"509","3700.0","2706579"
"510","3700.0","2707542"
"511","3700.0","2708020"
"512","3700.0","2708734"
"513","3700.0","2709460"
"514","3700.0","2709970"
"515","2600.0","2711439"
"516","3700.0","2711960"
"517","3700.0","2712576"
"518","3700.0","2713527"
"519","3700.0","2714732"
"520","3700.0","2715336"
"521","3700.0","2717412"
"522","3700.0","2717941"
"523","3700.0","2718428"
"524","3700.0","2719467"
"525","3700.0","2720562"
"526","3700.0","2721107"
"527","2600.0","2721715"
"528","3700.0","2722517"
"529","3700.0","2723045"
"530","3700.0","2725108"
"531","3700.0","2725648"
"532","3700.0","2726220"
"533","3600.0","2727212"
"534","500.0","2727642"
"535","500.0","2728407"
"536","3700.0","2729584"
"537","3700.0","2730161"
"538","3700.0","2732375"
"539","3700.0","2733056"
"540","3700.0","2733574"
"541","3700.0","2734221"
"542","3700.0","2739257"
"543","3700.0","2739848"
"544","3700.0","2740330"
"545","3700.0","2740861"
"546","3700.0","2741594"
"547","3700.0","2744005"
"548","3700.0","2745327"
"549","3700.0","2745818"
"550","3700.0","2746754"
"551","3700.0","2748175"
"552","3700.0","2758996"
"553","3700.0","2759665"
"554","3700.0","2761446"
"555","3700.0","2762038"
"556","3700.0","2763488"
"557","3700.0","2764221"
"558","3700.0","2764797"
"559","3700.0","2765508"
"560","3700.0","2766045"
"561","3700.0","2766768"
"562","2600.0","2769209"
"563","3700.0","2769728"
"564","3700.0","2772341"
"565","3700.0","2772859"
"566","3700.0","2774161"
"567","3700.0","2775602"
"568","3700.0","2776211"
"569","3700.0","2776827"
"570","3700.0","2777372"
"571","3700.0","2778092"
"572","3700.0","2779071"
"573","400.0","2779374"
"574","2600.0","2780788"
"575","3700.0","2781349"
"576","2600.0","2782634"
"577","3700.0","2783137"
"578","100.0","2783477"
"579","3700.0","2784429"
"580","3700.0","2785529"
"581","3700.0","2786137"
"582","3700.0","2786701"
"583","2600.0","2787349"
"584","3700.0","2788614"
"585","3700.0","2791577"
"586","3700.0","2792675"
"587","3700.0","2794748"
"588","3700.0","2795419"
"589","3700.0","2796674"
"590","3700.0","2798565"
"591","3700.0","2799340"
"592","3700.0","2800366"
"593","3700.0","2800879"
"594","3700.0","2801670"
"595","3700.0","2802237"
"596","2600.0","2802730"
"597","3700.0","2803356"
"598","3700.0","2803923"
"599","3700.0","2805825"
"600","3700.0","2806905"
"601","3700.0","2807818"
