"episode","score","train_step"
"0","0.0","755406"
"1","6600.0","805407"
"2","0.0","810734"
"3","0.0","814749"
"4","500.0","817353"
"5","400.0","818640"
"6","400.0","819641"
"7","400.0","827538"
"8","400.0","832957"
"9","2400.0","882958"
"10","0.0","883372"
"11","0.0","883947"
"12","500.0","884722"
"13","400.0","889425"
"14","400.0","892376"
"15","0.0","892646"
"16","0.0","893219"
"17","600.0","943220"
"18","400.0","945898"
"19","100.0","947431"
"20","500.0","948399"
"21","400.0","949723"
"22","500.0","999724"
"23","6600.0","1049725"
"24","3600.0","1063102"
"25","1400.0","1064689"
"26","400.0","1065466"
"27","500.0","1097407"
"28","500.0","1105291"
"29","500.0","1155292"
"30","500.0","1161987"
"31","400.0","1164168"
"32","600.0","1198735"
"33","600.0","1223350"
"34","500.0","1225789"
"35","500.0","1227334"
"36","400.0","1227918"
"37","500.0","1228678"
"38","500.0","1229998"
"39","1400.0","1232954"
"40","600.0","1249705"
"41","600.0","1267322"
"42","500.0","1268831"
"43","600.0","1318832"
"44","2500.0","1367821"
"45","500.0","1379013"
"46","600.0","1427980"
"47","500.0","1430724"
"48","400.0","1431755"
"49","400.0","1432642"
"50","500.0","1435557"
"51","400.0","1436633"
"52","2500.0","1442779"
"53","400.0","1443330"
"54","1500.0","1447342"
"55","400.0","1461498"
"56","400.0","1463301"
"57","1400.0","1465184"
"58","400.0","1466371"
"59","400.0","1467225"
"60","500.0","1517226"
"61","5800.0","1522239"
"62","2500.0","1572240"
"63","400.0","1619421"
"64","500.0","1623290"
"65","600.0","1626881"
"66","400.0","1628740"
"67","500.0","1629962"
"68","1500.0","1632553"
"69","500.0","1633532"
"70","400.0","1634945"
"71","500.0","1636445"
"72","3700.0","1686446"
"73","400.0","1690308"
"74","500.0","1693039"
"75","3500.0","1699145"
"76","2500.0","1709842"
"77","6600.0","1759843"
"78","2500.0","1809844"
"79","2500.0","1859845"
"80","2500.0","1909846"
"81","6600.0","1959847"
"82","500.0","1960366"
"83","6600.0","1982326"
"84","500.0","1983269"
"85","600.0","1985292"
"86","400.0","2005371"
"87","2500.0","2012389"
"88","2500.0","2013195"
"89","2500.0","2063196"
"90","2500.0","2064407"
"91","2500.0","2067593"
"92","2500.0","2068607"
"93","2500.0","2118608"
"94","2500.0","2168609"
"95","2800.0","2173988"
"96","2500.0","2188689"
"97","2400.0","2191794"
"98","600.0","2193593"
"99","2500.0","2198177"
"100","400.0","2198949"
"101","400.0","2199784"
"102","400.0","2200456"
"103","2500.0","2250457"
"104","2500.0","2300458"
"105","2500.0","2303697"
"106","500.0","2353698"
"107","2500.0","2358140"
"108","2500.0","2364064"
"109","6600.0","2414065"
"110","2500.0","2417464"
"111","2500.0","2447282"
"112","2500.0","2456185"
"113","2500.0","2462644"
"114","400.0","2463508"
"115","400.0","2464953"
"116","2500.0","2501224"
"117","6600.0","2551225"
"118","2500.0","2553061"
"119","100.0","2562611"
"120","2500.0","2566099"
"121","2500.0","2568578"
"122","400.0","2570000"
"123","2500.0","2572138"
"124","2500.0","2573175"
"125","2500.0","2576123"
"126","400.0","2576620"
"127","2600.0","2626621"
"128","2500.0","2629851"
"129","2500.0","2648040"
"130","2500.0","2649404"
"131","2500.0","2650288"
"132","2500.0","2654301"
"133","500.0","2704302"
"134","500.0","2710163"
"135","2500.0","2739162"
"136","2500.0","2740892"
"137","2500.0","2746890"
"138","2500.0","2755452"
"139","400.0","2756853"
"140","2500.0","2757835"
"141","2500.0","2761310"
"142","2500.0","2768110"
"143","2500.0","2771558"
"144","2500.0","2772383"
"145","2500.0","2773263"
"146","2500.0","2773859"
"147","500.0","2823860"
"148","2500.0","2826612"
"149","500.0","2876613"
"150","2500.0","2877387"
"151","2500.0","2881733"
"152","2500.0","2885047"
"153","2500.0","2888355"
"154","2500.0","2892199"
"155","2600.0","2905017"
"156","2500.0","2914341"
"157","2500.0","2920797"
"158","500.0","2924683"
"159","2500.0","2931064"
"160","2600.0","2970687"
"161","2500.0","2972194"
"162","2500.0","2976605"
"163","2500.0","2978927"
"164","2500.0","2980121"
"165","2600.0","2991168"
"166","2600.0","3019945"
"167","3700.0","3055766"
"168","2500.0","3059455"
"169","2500.0","3073672"
"170","2500.0","3075453"
"171","400.0","3076579"
"172","2500.0","3082198"
"173","2500.0","3085103"
"174","2500.0","3086938"
"175","2500.0","3088918"
"176","400.0","3089533"
"177","2500.0","3091801"
"178","2500.0","3092522"
