"episode","score","train_step"
"0","1400.0","751652"
"1","2400.0","753850"
"2","2600.0","803851"
"3","0.0","804012"
"4","0.0","806687"
"5","2400.0","856688"
"6","1400.0","858721"
"7","0.0","862978"
"8","0.0","863254"
"9","100.0","867442"
"10","0.0","868062"
"11","0.0","868664"
"12","0.0","868936"
"13","0.0","869103"
"14","0.0","869492"
"15","2600.0","882762"
"16","1500.0","885320"
"17","1400.0","888112"
"18","400.0","890034"
"19","1400.0","896063"
"20","400.0","896494"
"21","1400.0","898408"
"22","400.0","901401"
"23","1500.0","929226"
"24","1400.0","936845"
"25","1400.0","939002"
"26","1400.0","943568"
"27","400.0","944504"
"28","2600.0","948254"
"29","2600.0","952707"
"30","1400.0","954038"
"31","2400.0","955519"
"32","2400.0","956476"
"33","2400.0","970879"
"34","1400.0","971700"
"35","1400.0","973206"
"36","1400.0","973956"
"37","1400.0","974702"
"38","1500.0","982611"
"39","3400.0","992808"
"40","2400.0","994551"
"41","2400.0","997591"
"42","1400.0","998531"
"43","2400.0","999980"
"44","1400.0","1000472"
"45","400.0","1000873"
"46","2400.0","1001802"
"47","2400.0","1006154"
"48","2400.0","1007342"
"49","2400.0","1008585"
"50","2400.0","1013576"
"51","400.0","1022245"
"52","2400.0","1029248"
"53","400.0","1038205"
"54","2400.0","1038928"
"55","400.0","1084157"
"56","2400.0","1095332"
"57","1400.0","1096191"
"58","2400.0","1120296"
"59","0.0","1120721"
"60","1400.0","1121145"
"61","2400.0","1122287"
"62","1400.0","1122860"
"63","400.0","1123140"
"64","2400.0","1128603"
"65","1400.0","1130352"
"66","2600.0","1133573"
"67","2400.0","1134982"
"68","2500.0","1151716"
"69","1400.0","1152090"
"70","2400.0","1153087"
"71","2400.0","1154234"
"72","1400.0","1155284"
"73","400.0","1155521"
"74","1400.0","1156253"
"75","1400.0","1157000"
"76","2400.0","1157793"
"77","2400.0","1159513"
"78","2400.0","1160326"
"79","1400.0","1161895"
"80","2400.0","1174618"
"81","2400.0","1175548"
"82","400.0","1175837"
"83","100.0","1176116"
"84","2600.0","1177981"
"85","1500.0","1181479"
"86","2400.0","1182384"
"87","2400.0","1183381"
"88","2400.0","1184516"
"89","2400.0","1185739"
"90","1400.0","1186173"
"91","2400.0","1187003"
"92","2400.0","1188774"
"93","1400.0","1189173"
"94","1400.0","1189590"
"95","2600.0","1239591"
"96","1400.0","1241386"
"97","1400.0","1242041"
"98","2400.0","1242707"
"99","1400.0","1243189"
"100","2400.0","1243787"
"101","1400.0","1244213"
"102","1400.0","1244614"
"103","2400.0","1245262"
"104","2400.0","1247013"
"105","3600.0","1296653"
"106","1400.0","1297382"
"107","1400.0","1297896"
"108","2400.0","1300061"
"109","1400.0","1300577"
"110","2400.0","1301346"
"111","2400.0","1302093"
"112","1400.0","1302562"
"113","1400.0","1303070"
"114","2400.0","1304228"
"115","1400.0","1304648"
"116","2400.0","1305375"
"117","2400.0","1306109"
"118","2400.0","1306696"
"119","2600.0","1308649"
"120","1400.0","1309108"
"121","1400.0","1309487"
"122","400.0","1309855"
"123","0.0","1310050"
"124","1400.0","1310585"
"125","2400.0","1311566"
"126","2400.0","1312851"
"127","2400.0","1313709"
"128","1400.0","1314154"
"129","1400.0","1314569"
"130","1400.0","1315184"
"131","2400.0","1315825"
"132","1400.0","1316671"
"133","1400.0","1317073"
"134","2400.0","1321570"
"135","2400.0","1322935"
"136","2400.0","1323790"
"137","1400.0","1324743"
"138","1500.0","1327006"
"139","2600.0","1328086"
"140","2400.0","1328607"
"141","2400.0","1329266"
"142","2500.0","1332074"
"143","1400.0","1332426"
"144","2400.0","1334465"
"145","2400.0","1335416"
"146","1400.0","1335790"
"147","1400.0","1336180"
"148","1400.0","1336608"
"149","2400.0","1337412"
"150","1400.0","1337904"
"151","2400.0","1339116"
"152","2400.0","1340194"
"153","2400.0","1341919"
"154","1400.0","1342666"
"155","2600.0","1356287"
"156","2600.0","1364236"
"157","2400.0","1365546"
"158","1400.0","1366048"
"159","2400.0","1368669"
"160","2400.0","1370030"
"161","1400.0","1370423"
"162","1400.0","1370903"
"163","2400.0","1371830"
"164","1400.0","1372193"
"165","2400.0","1422194"
"166","2400.0","1425426"
"167","1400.0","1426710"
"168","1400.0","1427056"
"169","2400.0","1428811"
"170","400.0","1429162"
"171","1400.0","1429521"
"172","2400.0","1430452"
"173","1400.0","1430824"
"174","1400.0","1431271"
"175","2600.0","1446782"
"176","2400.0","1448105"
"177","1400.0","1448743"
"178","2600.0","1471042"
"179","2400.0","1474670"
"180","1400.0","1475081"
"181","2400.0","1475697"
"182","2400.0","1478549"
"183","2400.0","1479390"
"184","2400.0","1479942"
"185","2400.0","1480911"
"186","2600.0","1530912"
"187","2400.0","1531416"
"188","2400.0","1532053"
"189","1400.0","1532451"
"190","2400.0","1533204"
"191","2400.0","1535751"
"192","2400.0","1536510"
"193","2400.0","1538449"
"194","1400.0","1538847"
"195","400.0","1539360"
"196","1400.0","1540191"
"197","2400.0","1542278"
"198","1400.0","1542756"
"199","2600.0","1584602"
"200","1400.0","1585211"
"201","2400.0","1585716"
"202","1400.0","1586589"
"203","1400.0","1587368"
"204","1400.0","1588425"
"205","2400.0","1589989"
"206","400.0","1590412"
"207","1400.0","1590855"
"208","2400.0","1592122"
"209","2400.0","1593091"
"210","2400.0","1593729"
"211","1400.0","1594101"
"212","2400.0","1594581"
"213","1400.0","1595012"
"214","1400.0","1595563"
"215","1400.0","1596079"
"216","1400.0","1596996"
