"episode","score","train_step"
"0","600.0","754362"
"1","6600.0","804363"
"2","600.0","805431"
"3","3600.0","855432"
"4","500.0","862110"
"5","400.0","878782"
"6","6900.0","903233"
"7","400.0","905964"
"8","500.0","910736"
"9","500.0","912823"
"10","500.0","918012"
"11","500.0","918856"
"12","2500.0","927553"
"13","600.0","928872"
"14","100.0","950253"
"15","600.0","1000254"
"16","3600.0","1003084"
"17","500.0","1005139"
"18","600.0","1055140"
"19","500.0","1056986"
"20","600.0","1092308"
"21","2500.0","1106615"
"22","600.0","1156616"
"23","400.0","1160565"
"24","0.0","1161843"
"25","0.0","1162269"
"26","600.0","1171699"
"27","500.0","1172462"
"28","500.0","1173112"
"29","600.0","1174815"
"30","2500.0","1177067"
"31","3600.0","1181934"
"32","600.0","1189128"
"33","400.0","1190395"
"34","2500.0","1240396"
"35","3600.0","1246108"
"36","500.0","1246914"
"37","600.0","1248821"
"38","500.0","1249515"
"39","6600.0","1299516"
"40","2500.0","1341988"
"41","500.0","1342977"
"42","6600.0","1392978"
"43","500.0","1394031"
"44","1400.0","1396257"
"45","1400.0","1398120"
"46","1500.0","1402281"
"47","500.0","1403120"
"48","500.0","1403672"
"49","500.0","1453673"
"50","600.0","1457202"
"51","3600.0","1507203"
"52","2500.0","1509132"
"53","2500.0","1513051"
"54","500.0","1513732"
"55","2400.0","1563733"
"56","600.0","1564827"
"57","1400.0","1566270"
"58","600.0","1567203"
"59","2500.0","1568653"
"60","400.0","1569332"
"61","600.0","1571067"
"62","600.0","1618978"
"63","500.0","1620042"
"64","500.0","1620674"
"65","2600.0","1670675"
"66","1500.0","1674932"
"67","2500.0","1675841"
"68","2500.0","1680174"
"69","2500.0","1689613"
"70","2600.0","1739614"
"71","2500.0","1740622"
"72","2500.0","1741910"
"73","2500.0","1743626"
"74","2500.0","1744471"
"75","500.0","1745479"
"76","2500.0","1746592"
"77","2500.0","1747697"
"78","2500.0","1748521"
"79","8100.0","1764077"
"80","500.0","1814078"
"81","2500.0","1864079"
"82","2600.0","1877770"
"83","2500.0","1927771"
"84","500.0","1928323"
"85","600.0","1930302"
"86","2600.0","1932264"
"87","2500.0","1934688"
"88","2600.0","1936097"
"89","500.0","1971204"
"90","6600.0","1991909"
"91","2500.0","1994239"
"92","2500.0","1995402"
"93","2500.0","2001005"
"94","2500.0","2051006"
"95","500.0","2101007"
"96","2500.0","2101613"
"97","500.0","2151614"
"98","2500.0","2152235"
"99","1500.0","2154134"
"100","6600.0","2160951"
"101","2500.0","2161974"
"102","2500.0","2211975"
"103","2500.0","2212505"
"104","2600.0","2260991"
"105","2500.0","2261458"
"106","2500.0","2311459"
"107","500.0","2311935"
"108","2500.0","2312703"
"109","600.0","2314022"
"110","2500.0","2360706"
"111","2500.0","2361450"
"112","400.0","2362225"
"113","2500.0","2363538"
"114","2500.0","2365783"
"115","2600.0","2415784"
"116","2500.0","2417342"
"117","2500.0","2418103"
"118","400.0","2419036"
"119","2500.0","2435393"
"120","400.0","2435848"
"121","2500.0","2436627"
"122","2500.0","2437662"
"123","2600.0","2439589"
"124","2500.0","2440154"
"125","2500.0","2440845"
"126","400.0","2441591"
"127","6600.0","2491592"
"128","2500.0","2492033"
"129","2500.0","2492590"
"130","2500.0","2493089"
"131","2500.0","2493834"
"132","2600.0","2524166"
"133","2600.0","2528145"
"134","2600.0","2533122"
"135","400.0","2536895"
"136","2600.0","2545846"
"137","500.0","2595847"
"138","2600.0","2598723"
"139","500.0","2599098"
"140","500.0","2599471"
"141","500.0","2599836"
"142","2500.0","2611324"
"143","2500.0","2611772"
"144","500.0","2612220"
"145","2500.0","2612789"
"146","2500.0","2615111"
"147","2500.0","2615696"
"148","6600.0","2665697"
"149","2500.0","2666183"
"150","2500.0","2666687"
"151","2500.0","2667295"
