"episode","score","train_step"
"0","0.0","750693"
"1","400.0","751852"
"2","1400.0","756773"
"3","1500.0","761429"
"4","1400.0","762196"
"5","400.0","763134"
"6","100.0","763769"
"7","2400.0","766575"
"8","0.0","770832"
"9","1400.0","773381"
"10","5800.0","785424"
"11","0.0","787565"
"12","0.0","790700"
"13","400.0","791267"
"14","1400.0","792423"
"15","1400.0","794373"
"16","0.0","794707"
"17","1500.0","802035"
"18","400.0","802506"
"19","1400.0","804277"
"20","2500.0","845075"
"21","0.0","845297"
"22","1400.0","846942"
"23","2400.0","848799"
"24","400.0","849401"
"25","400.0","850003"
"26","2400.0","900004"
"27","1400.0","909239"
"28","2400.0","913212"
"29","2400.0","918144"
"30","400.0","918521"
"31","2400.0","962174"
"32","1500.0","964900"
"33","1500.0","968970"
"34","2400.0","1018971"
"35","2400.0","1068972"
"36","1400.0","1072834"
"37","1400.0","1073449"
"38","1400.0","1074336"
"39","2400.0","1076495"
"40","1400.0","1077497"
"41","1400.0","1080282"
"42","100.0","1080783"
"43","400.0","1081503"
"44","400.0","1082022"
"45","400.0","1082380"
"46","1500.0","1132381"
"47","2400.0","1151435"
"48","2400.0","1164274"
"49","1400.0","1164826"
"50","400.0","1165158"
"51","2400.0","1166281"
"52","1400.0","1167130"
"53","1400.0","1167921"
"54","2400.0","1172595"
"55","1400.0","1174127"
"56","2400.0","1174872"
"57","2400.0","1179580"
"58","100.0","1179837"
"59","2400.0","1212099"
"60","2400.0","1213128"
"61","400.0","1213615"
"62","2400.0","1243478"
"63","400.0","1243839"
"64","2400.0","1270370"
"65","2400.0","1271270"
"66","2400.0","1272938"
"67","2400.0","1322939"
"68","2400.0","1324028"
"69","1400.0","1324590"
"70","2400.0","1327987"
"71","2400.0","1328916"
"72","2400.0","1330806"
"73","1400.0","1331365"
"74","1400.0","1332909"
"75","1400.0","1333667"
"76","1400.0","1335115"
"77","2400.0","1336428"
"78","1400.0","1337204"
"79","100.0","1337677"
"80","1400.0","1340404"
"81","1400.0","1340907"
"82","1400.0","1345217"
"83","2800.0","1347819"
"84","1400.0","1348539"
"85","1400.0","1350120"
"86","2400.0","1352557"
"87","2400.0","1402558"
"88","1400.0","1403141"
"89","2400.0","1404330"
"90","2400.0","1406158"
"91","1400.0","1406709"
"92","2400.0","1434684"
"93","1400.0","1437029"
"94","1400.0","1438334"
"95","1400.0","1438757"
"96","1400.0","1439276"
"97","1400.0","1439763"
"98","1400.0","1440345"
"99","2400.0","1448986"
"100","2400.0","1454098"
"101","2400.0","1454938"
"102","1400.0","1455382"
"103","2400.0","1456120"
"104","2400.0","1457467"
"105","1400.0","1458468"
"106","2400.0","1459429"
"107","1400.0","1459906"
"108","1500.0","1460736"
"109","400.0","1461239"
"110","1400.0","1464206"
"111","1400.0","1469106"
"112","1400.0","1469849"
"113","2400.0","1470842"
"114","1400.0","1471702"
"115","1400.0","1473715"
"116","1400.0","1474298"
"117","1400.0","1475072"
"118","1400.0","1475819"
"119","2400.0","1476557"
"120","2400.0","1526558"
"121","1400.0","1527050"
"122","1400.0","1527716"
"123","1500.0","1573924"
"124","1400.0","1574533"
"125","100.0","1578214"
"126","1400.0","1579024"
"127","1400.0","1579671"
"128","2400.0","1580472"
"129","1400.0","1582720"
"130","1400.0","1583736"
"131","2400.0","1584889"
"132","2400.0","1596410"
"133","2400.0","1597087"
"134","2400.0","1597920"
"135","2400.0","1598561"
"136","2400.0","1599202"
"137","2400.0","1599843"
"138","2400.0","1602570"
"139","1400.0","1603473"
"140","2400.0","1616804"
"141","2400.0","1619269"
"142","400.0","1621101"
"143","2500.0","1628341"
